,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Won,FOs Taken,Pen,Goals Allowed,Saves,W,L,Clear Pct,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Saves,Opp_Clear Pct,Year,Home,Away,Location,OT,Distance Traveled
62,02192019,boston u, sacred heart,16-11,1,16,12,28,42,27,1,41,24,5,22,29,3,11,15,1,0,0.696,11,4,15,42,26,1,35,16,11,7,29,4,11,0.786,2019,0.0,1.0,Sacred Heart,0.0,
63,02262019,boston u,bryant,14-9,1,14,11,25,40,24,2,43,24,17,15,25,4,9,10,1,0,0.818,9,4,13,29,19,1,30,27,10,10,25,4,10,0.593,2019,1.0,0.0,Boston U,0.0,0.0
64,03022019,boston u,vermont,12-4,1,12,8,20,53,28,4,43,17,17,13,20,6,4,14,1,0,0.864,4,3,7,30,18,1,33,26,8,7,20,7,16,0.704,2019,1.0,0.0,Boston U,0.0,0.0
65,03092019,boston u, colgate,7-9,1,7,7,14,32,15,2,26,18,7,7,20,2,9,13,0,1,0.905,9,5,14,42,22,0,28,18,7,13,20,5,8,0.762,2019,0.0,1.0,Colgate,0.0,
66,03162019,boston u,bucknell,13-9,1,13,7,20,46,25,0,38,15,13,19,26,7,9,11,1,0,0.75,9,7,16,36,20,0,28,20,8,7,26,0,12,0.739,2019,1.0,0.0,Boston U,0.0,0.0
67,03192019,boston u,harvard,11-12 ,1,11,7,18,52,30,2,37,22,18,10,29,6,12,12,0,1,0.818,12,7,19,40,24,3,50,32,7,19,29,4,19,0.704,2019,1.0,0.0,Boston U,1.0,0.0
68,03232019,boston u,lafayette,17-9,1,17,12,29,41,24,2,41,18,8,24,29,4,9,8,1,0,0.848,9,4,13,28,17,1,22,14,7,5,29,3,7,0.818,2019,1.0,0.0,Boston U,0.0,0.0
69,03302019,boston u, lehigh,8-10,1,8,5,13,43,21,1,38,16,17,8,22,9,10,11,0,1,0.947,10,5,15,38,21,3,38,21,9,14,22,2,13,0.909,2019,0.0,1.0,Lehigh,0.0,
70,04062019,boston u, army west point,15-13,1,15,10,25,37,22,2,37,20,9,22,32,1,13,9,1,0,0.905,13,8,21,50,22,0,34,14,14,10,32,2,7,0.833,2019,0.0,1.0,Army West Point,0.0,
71,04132019,boston u,loyola maryland,18-11,1,18,14,32,63,35,0,55,20,14,20,33,4,11,14,1,0,0.864,11,7,18,42,25,1,33,16,10,13,33,7,17,0.800,2019,1.0,0.0,Boston U,0.0,0.0
72,04202019,boston u,holy cross,15-11,1,15,11,26,39,25,2,34,19,13,11,29,5,11,20,1,0,0.714,11,7,18,47,31,1,43,21,14,18,29,5,10,0.714,2019,1.0,0.0,Boston U,0.0,0.0
73,04262019,boston u, navy,12-13,1,12,7,19,52,30,0,43,20,10,14,29,1,13,14,0,1,0.759,13,13,26,46,27,0,36,18,7,15,29,3,18,0.630,2019,0.0,1.0,Navy,0.0,
74,04302019,boston u,bucknell,14-8,1,14,8,22,45,31,0,53,24,13,15,26,5,8,15,1,0,0.792,8,3,11,46,23,2,43,26,11,11,26,2,17,0.618,2019,1.0,0.0,Boston U,0.0,0.0
75,05032019,boston u,lehigh,9-10,1,9,4,13,44,20,1,27,15,8,7,22,3,10,10,0,1,0.737,10,6,16,37,20,1,37,19,8,15,22,3,11,0.760,2019,0.0,1.0,Baltimore Md,0.0,
76,02162019,brown,quinnipiac,20-7,1,20,10,30,60,37,3,50,17,15,12,29,7,7,9,1,0,0.815,7,4,11,33,16,1,32,30,6,17,29,6,17,0.519,2019,1.0,0.0,Brown,0.0,0.0
77,02232019,brown,stony brook,11-13,1,11,7,18,38,23,3,23,21,5,14,26,6,13,7,0,1,0.692,13,9,22,29,20,3,22,27,4,12,26,10,12,0.632,2019,1.0,0.0,Brown,0.0,0.0
78,03022019,brown, umbc,14-13 ,1,14,6,20,37,27,1,39,20,6,21,31,3,13,9,1,0,0.9,13,9,22,35,22,1,30,15,6,10,31,3,13,0.846,2019,0.0,1.0,UMBC,1.0,330.3676081646703
79,03102019,brown, virginia,13-14 ,1,13,8,21,46,32,0,45,22,9,13,29,4,14,15,0,1,0.652,14,12,26,43,29,2,59,23,16,16,29,5,19,0.818,2019,0.0,1.0,Virginia,1.0,458.0166172555705
80,03162019,brown,harvard,16-14,1,16,8,24,53,35,3,41,21,2,23,34,4,14,14,1,0,0.667,14,5,19,43,28,2,41,19,9,11,34,4,19,0.750,2019,1.0,0.0,Brown,0.0,0.0
81,03192019,brown,holy cross,10-11 ,1,10,7,17,35,15,3,26,25,4,9,26,3,11,14,0,1,0.833,11,9,20,56,25,1,36,18,9,17,26,4,5,0.750,2019,1.0,0.0,Brown,1.0,0.0
82,03232019,brown, massachusetts,7-14,1,7,2,9,36,24,1,30,20,6,11,23,2,14,5,0,1,0.778,14,8,22,37,19,1,30,22,10,12,23,8,17,0.778,2019,0.0,1.0,Massachusetts,0.0,40.554064290765616
83,03252019,brown,villanova,9-10,1,9,6,15,42,21,2,26,11,5,10,21,3,10,17,0,1,0.917,10,7,17,43,27,0,28,13,3,11,21,5,12,0.808,2019,1.0,0.0,Brown,0.0,0.0
