,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Won,FOs Taken,Pen,Goals Allowed,Saves,W,L,Clear Pct,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Saves,Opp_Clear Pct,Year,Home,Away,Location,OT
97,03302018,bryant, robert morris,10-7,1,10,6,16,29,22,1,38,13,4,14,21,3,7,8,1,0,0.867,7,5,12,25,15,2,20,17,6,7,21,2,12,1.000,2018,0.0,1.0,Robert Morris,0.0
98,04072018,bryant,wagner,8-3,1,8,4,12,39,23,1,32,11,10,13,15,1,3,11,1,0,1.0,3,2,5,24,14,0,21,13,9,2,15,1,15,0.810,2018,1.0,0.0,Bryant,0.0
99,04142018,bryant, saint josephs,7-14,1,7,2,9,31,19,0,26,12,9,17,24,3,14,7,0,1,0.692,14,9,23,26,21,1,21,11,10,7,24,2,12,0.889,2018,0.0,1.0,Saint Josephs,0.0
100,04212018,bryant,hobart,13-8,1,13,6,19,39,23,0,24,8,7,10,24,1,8,8,1,0,0.944,8,7,15,31,16,0,20,14,3,14,24,2,10,0.857,2018,1.0,0.0,Bryant,0.0
101,04242018,bryant, brown,17-9,1,17,10,27,40,27,2,36,15,6,17,29,2,9,8,1,0,0.882,9,6,15,34,17,1,25,15,6,12,29,6,10,0.944,2018,0.0,1.0,Brown,0.0
102,05032018,bryant,robert morris,5-12,1,5,2,7,42,20,1,34,20,10,17,20,0,12,5,0,1,0.818,12,8,20,22,17,0,21,14,10,3,20,3,15,0.840,2018,0.0,1.0,Philadelphia Pa,0.0
103,02032018,bucknell,marist,11-9,1,11,7,18,41,21,1,29,7,11,10,23,3,9,5,1,0,0.8,9,6,15,24,14,2,15,17,2,13,23,3,10,0.722,2018,1.0,0.0,Bucknell,0.0
104,02102018,bucknell, bryant,14-12,1,14,8,22,36,22,0,20,9,6,11,30,1,12,11,1,0,0.867,12,7,19,41,23,1,32,10,5,19,30,1,8,1.000,2018,0.0,1.0,Bryant,0.0
105,02172018,bucknell, richmond,8-9,1,8,4,12,36,25,0,29,12,3,12,20,5,9,13,0,1,1.0,9,4,13,36,22,3,29,12,2,8,20,4,17,0.933,2018,0.0,1.0,Richmond,0.0
106,02242018,bucknell, colgate,13-10,1,13,5,18,28,18,1,19,14,5,12,24,7,10,12,1,0,0.733,10,9,19,38,22,0,27,9,7,12,24,2,5,0.818,2018,0.0,1.0,Colgate,0.0
107,03032018,bucknell,navy,8-13,1,8,2,10,25,15,1,17,10,4,10,25,2,13,11,0,1,1.0,13,9,22,37,24,0,34,10,7,15,25,1,7,1.000,2018,1.0,0.0,Bucknell,0.0
108,03102018,bucknell, holy cross,12-4,1,12,5,17,37,23,2,25,10,5,7,18,7,4,6,1,0,1.0,4,4,8,31,10,1,24,14,5,11,18,5,11,0.765,2018,0.0,1.0,Holy Cross,0.0
109,03172018,bucknell,boston u,16-9,1,16,11,27,39,26,1,37,14,13,12,29,1,9,8,1,0,0.944,9,8,17,24,17,0,31,19,9,17,29,4,10,0.800,2018,1.0,0.0,Bucknell,0.0
110,03202018,bucknell, penn,8-9,1,8,3,11,30,13,0,20,10,2,10,20,0,9,9,0,1,0.833,9,7,16,27,18,0,17,9,3,10,20,1,5,0.917,2018,0.0,1.0,Penn,0.0
